session_id,user_R,user_I,user_A,user_S,user_E,user_C,questions_answered,created_at
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:09.294Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:09.294Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:09.294Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.589Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-2,12,2026-07-14T18:46:54.749Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-2,12,2026-07-14T18:46:54.750Z
