session_id,user_R,user_I,user_A,user_S,user_E,user_C,questions_answered,created_at
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:09.294Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:09.294Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:09.294Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.589Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-1,12,2026-07-14T18:41:15.604Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-2,12,2026-07-14T18:46:54.749Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,2,2,1,1,1,-2,12,2026-07-14T18:46:54.750Z
smoke-test,5,3,1,0,0,0,0,2026-08-13T17:07:02.137Z
anonymous,6,5,4,3,2,1,0,2026-08-13T17:07:02.411Z
anonymous,6,5,4,3,2,1,0,2026-08-13T17:07:02.414Z
anonymous,6,5,4,3,2,1,0,2026-08-13T17:07:02.417Z
anonymous,6,5,4,3,2,1,0,2026-08-13T17:07:02.420Z
anonymous,6,5,4,3,2,1,0,2026-08-13T17:07:02.423Z
anonymous,6,5,4,3,2,1,0,2026-08-13T17:07:02.425Z
anonymous,6,5,4,3,2,1,0,2026-08-13T17:07:02.428Z
test-1786640821842-22385-careers,6,5,4,3,2,1,0,2026-08-13T17:07:02.431Z
anonymous,1,1,1,1,1,6,0,2026-08-13T17:07:02.433Z
test-1786640821842-22385-s1,1,2,3,4,5,6,12,2026-08-13T17:07:03.274Z
test-1786640821842-22385-s2,1,2,3,4,5,6,12,2026-08-13T17:07:03.275Z
test-1786640821842-22385-s3,1,1,1,1,1,1,0,2026-08-13T17:07:03.280Z
test-1786640821842-22385-s4,2,2,2,2,2,2,24,2026-08-13T17:07:03.282Z
test-1786640821842-22385-s5,1,0,0,0,0,0,12,2026-08-13T17:07:03.287Z
test-1786640821842-22385-s5,9,0,0,0,0,0,48,2026-08-13T17:07:03.288Z
test-1786640821842-22385-s6,7,0,0,0,0,0,48,2026-08-13T17:07:03.291Z
test-1786640821842-22385-s6,7,0,0,0,0,0,48,2026-08-13T17:07:03.291Z
anonymous,1,1,1,1,1,1,6,2026-08-13T17:07:03.297Z
test-1786640821842-22385-c1,1,1,1,1,1,1,6,2026-08-13T17:07:03.298Z
test-1786640821842-22385-c2,4,4,4,4,4,4,36,2026-08-13T17:07:03.317Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,2,12,2026-08-13T17:22:22.994Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,2,12,2026-08-13T17:22:22.994Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,2,12,2026-08-13T17:22:24.855Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,2,12,2026-08-13T17:22:24.856Z
460ce1cc-f7bc-4e1d-b928-424bc9f64303,-16,-2,0,-4,0,-2,12,2026-08-13T17:22:39.081Z
460ce1cc-f7bc-4e1d-b928-424bc9f64303,-16,-2,0,-4,0,-2,12,2026-08-13T17:22:39.081Z
460ce1cc-f7bc-4e1d-b928-424bc9f64303,-16,-2,0,-4,0,-2,12,2026-08-13T17:22:39.200Z
460ce1cc-f7bc-4e1d-b928-424bc9f64303,-16,-2,0,-4,0,-2,12,2026-08-13T17:22:39.202Z
47426171-8040-4397-9c77-ca3d1e3e0b81,-16,0,-2,-2,0,-4,12,2026-08-13T17:23:49.424Z
47426171-8040-4397-9c77-ca3d1e3e0b81,-16,0,-2,-2,0,-4,12,2026-08-13T17:23:49.424Z
47426171-8040-4397-9c77-ca3d1e3e0b81,-16,0,-2,-2,0,-4,12,2026-08-13T17:23:49.549Z
47426171-8040-4397-9c77-ca3d1e3e0b81,-16,0,-2,-2,0,-4,12,2026-08-13T17:23:49.559Z
e0711e36-7fd6-4cf7-8fda-70356c07e273,-16,0,0,-2,-4,-2,12,2026-08-13T17:24:58.891Z
e0711e36-7fd6-4cf7-8fda-70356c07e273,-16,0,0,-2,-4,-2,12,2026-08-13T17:24:58.891Z
e0711e36-7fd6-4cf7-8fda-70356c07e273,-16,0,0,-2,-4,-2,12,2026-08-13T17:24:59.016Z
e0711e36-7fd6-4cf7-8fda-70356c07e273,-16,0,0,-2,-4,-2,12,2026-08-13T17:24:59.018Z
c0f6735a-fae9-47e8-8441-81336281b0b3,-16,-2,-2,-2,0,-2,12,2026-08-13T17:25:02.772Z
c0f6735a-fae9-47e8-8441-81336281b0b3,-16,-2,-2,-2,0,-2,12,2026-08-13T17:25:02.772Z
c0f6735a-fae9-47e8-8441-81336281b0b3,-16,-2,-2,-2,0,-2,12,2026-08-13T17:25:02.884Z
c0f6735a-fae9-47e8-8441-81336281b0b3,-16,-2,-2,-2,0,-2,12,2026-08-13T17:25:02.885Z
2a140df9-c7fc-4109-8f12-f0034f12d51f,-16,-2,0,-4,-2,0,12,2026-08-13T17:25:06.477Z
2a140df9-c7fc-4109-8f12-f0034f12d51f,-16,-2,0,-4,-2,0,12,2026-08-13T17:25:06.477Z
2a140df9-c7fc-4109-8f12-f0034f12d51f,-16,-2,0,-4,-2,0,12,2026-08-13T17:25:06.603Z
2a140df9-c7fc-4109-8f12-f0034f12d51f,-16,-2,0,-4,-2,0,12,2026-08-13T17:25:06.613Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,2,12,2026-08-13T17:22:24.856Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,2,12,2026-08-13T17:22:24.856Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,3,12,2026-08-13T17:26:05.318Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,3,12,2026-08-13T17:26:05.319Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,3,12,2026-08-13T17:26:05.319Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,2,2,2,2,2,3,12,2026-08-13T17:26:05.319Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,3,2,2,2,3,0,12,2026-08-13T17:26:11.326Z
7be64bcb-ed0b-4fee-8d2e-f364d8fdea95,3,2,2,2,3,0,12,2026-08-13T17:26:11.324Z
