major_name,onetsoc_code,match_strength
International Business,13-1011.00,0.87
Business Intelligence,13-1011.00,0.83
Management,13-1011.00,0.83
Construction Project Management,13-1021.00,0.90
Real Estate,13-1021.00,0.90
Event and Meeting Management,13-1022.00,0.98
Professional Selling,13-1022.00,0.98
Marketing,13-1022.00,0.83
Operations Management,13-1022.00,0.83
Advanced Manufacturing Sciences,13-1023.00,0.98
Advanced Manufacturing Operations,13-1023.00,0.90
Mechanical Engineering Technology,13-1023.00,0.90
Physics,13-1023.00,0.78
Finance,13-1031.00,0.94
Accounting,13-1031.00,0.72
Aviation and Aerospace Management,13-1031.00,0.72
Finance,13-1032.00,0.94
Real Estate,13-1032.00,0.94
Accounting,13-1032.00,0.72
Political Science,13-1041.00,0.90
Environmental Engineering,13-1041.01,0.98
Environmental Science,13-1041.01,0.87
Environmental Sustainability,13-1041.01,0.87
Political Science,13-1041.03,0.90
Special Education,13-1041.03,0.90
Political Science,13-1041.04,0.94
Criminal Justice and Criminology,13-1041.04,0.72
Fire and Emergency Response Administration,13-1041.04,0.72
Philosophy,13-1041.06,0.90
Special Education,13-1041.07,0.93
Accounting,13-1041.07,0.80
Advanced Manufacturing Sciences,13-1041.07,0.80
Physics,13-1041.07,0.80
Event and Meeting Management,13-1041.08,0.95
International Business,13-1041.08,0.95
Advanced Manufacturing Sciences,13-1041.08,0.75
Electrical Engineering,13-1041.08,0.75
Political Science,13-1041.08,0.75
Real Estate,13-1041.08,0.75
Construction Project Management,13-1051.00,0.98
Advanced Manufacturing Operations,13-1051.00,0.83
Advanced Manufacturing Sciences,13-1051.00,0.83
Human Resource Management,13-1071.00,0.98
Accounting,13-1071.00,0.62
Aviation and Aerospace Management,13-1071.00,0.62
Construction Project Management,13-1074.00,0.90
Human Resource Management,13-1075.00,0.98
Public Relations,13-1075.00,0.94
Special Education,13-1075.00,0.79
Human Resource Management,13-1081.00,0.90
Computer Information Systems,13-1081.01,0.98
Business Administration,13-1081.01,0.83
Computer Engineering,13-1081.01,0.83
Health Care Information Systems Major,13-1081.01,0.83
Industrial Design,13-1081.01,0.83
International Business,13-1081.01,0.83
Operations Management,13-1081.02,0.98
International Business,13-1081.02,0.76
Accounting,13-1081.02,0.64
Business Administration,13-1082.00,0.98
Management,13-1082.00,0.98
Operations Management,13-1082.00,0.87
Accounting,13-1082.00,0.80
Finance,13-1082.00,0.80
Business Administration,13-1111.00,0.98
Management,13-1111.00,0.91
Operations Management,13-1111.00,0.91
Event and Meeting Management,13-1121.00,0.98
Brewery Operations,13-1121.00,0.61
Business Administration,13-1121.00,0.61
Finance,13-1131.00,0.94
Industrial Design,13-1131.00,0.94
Accounting,13-1131.00,0.72
Special Education,13-1141.00,0.93
Human Resource Management,13-1141.00,0.80
Industrial Design,13-1151.00,0.94
"Art History, Theory, and Criticism",13-1151.00,0.72
Art,13-1151.00,0.72
Marketing,13-1161.00,0.96
Business Intelligence,13-1161.00,0.80
Business Administration,13-1161.00,0.72
Communication Studies,13-1161.00,0.70
Marketing,13-1161.01,0.98
Business Intelligence,13-1161.01,0.77
Accounting,13-1161.01,0.65
Business Administration,13-1199.00,0.98
International Business,13-1199.00,0.92
Business Intelligence,13-1199.00,0.87
Business Administration,13-1199.04,0.98
Event and Meeting Management,13-1199.04,0.95
International Business,13-1199.04,0.93
Business Intelligence,13-1199.04,0.87
Environmental Sustainability,13-1199.05,0.98
Environmental Engineering,13-1199.05,0.84
Business Administration,13-1199.05,0.74
Accounting,13-1199.06,0.98
Business Administration,13-1199.06,0.91
International Business,13-1199.06,0.91
Marketing,13-1199.06,0.91
Business Intelligence,13-1199.06,0.79
Finance,13-1199.06,0.79
Business Administration,13-1199.07,0.98
Management,13-1199.07,0.98
Operations Management,13-1199.07,0.87
Industrial Design,13-1199.07,0.80
Accounting,13-2011.00,0.98
Finance,13-2011.00,0.75
Business Administration,13-2011.00,0.70
Business Administration,13-2022.00,0.98
International Business,13-2022.00,0.98
Business Intelligence,13-2022.00,0.91
Real Estate,13-2022.00,0.88
Real Estate,13-2023.00,0.98
Accounting,13-2023.00,0.62
Aviation and Aerospace Management,13-2023.00,0.62
Accounting,13-2031.00,0.98
Economics,13-2031.00,0.96
Finance,13-2031.00,0.70
Finance,13-2041.00,0.96
Economics,13-2041.00,0.82
Accounting,13-2041.00,0.78
Business Administration,13-2041.00,0.70
Finance,13-2051.00,0.98
Business Intelligence,13-2051.00,0.83
Accounting,13-2051.00,0.68
Finance,13-2052.00,0.96
Economics,13-2052.00,0.82
Accounting,13-2052.00,0.78
Business Administration,13-2052.00,0.70
Finance,13-2053.00,0.94
Accounting,13-2053.00,0.72
Aviation and Aerospace Management,13-2053.00,0.72
Finance,13-2054.00,0.98
Economics,13-2054.00,0.83
Accounting,13-2054.00,0.68
Real Estate,13-2061.00,0.98
Finance,13-2061.00,0.83
Accounting,13-2061.00,0.63
Finance,13-2071.00,0.98
Accounting,13-2071.00,0.75
Business Administration,13-2071.00,0.75
Finance,13-2072.00,0.96
Economics,13-2072.00,0.82
Accounting,13-2072.00,0.78
Business Administration,13-2072.00,0.70
Accounting,13-2081.00,0.98
Finance,13-2081.00,0.75
Business Administration,13-2081.00,0.70
Accounting,13-2082.00,0.98
Finance,13-2082.00,0.75
Business Administration,13-2082.00,0.70
Finance,13-2099.00,0.94
Accounting,13-2099.00,0.72
Aviation and Aerospace Management,13-2099.00,0.72
Finance,13-2099.01,0.98
Business Administration,13-2099.01,0.83
Management,13-2099.01,0.83
Mathematics,13-2099.04,0.90
Computer Information Systems,15-1211.00,0.98
Computer Engineering,15-1211.00,0.94
Computer Science,15-1211.00,0.88
Business Administration,15-1211.00,0.82
Health Care Information Systems Major,15-1211.01,0.98
Health Care Management,15-1211.01,0.92
Health Care Professional Services,15-1211.01,0.92
Integrative Health Care,15-1211.01,0.92
Public Health,15-1211.01,0.87
Nursing,15-1211.01,0.84
Cybersecurity,15-1212.00,0.98
Computer Security,15-1212.00,0.96
Computer Information Systems,15-1212.00,0.84
Computer Science,15-1212.00,0.78
Computer Engineering,15-1221.00,0.98
Computer Information Systems,15-1221.00,0.93
Computer Science,15-1221.00,0.84
Computer Engineering,15-1231.00,0.98
Computer Information Systems,15-1231.00,0.98
Computer Science,15-1231.00,0.91
Computer Security,15-1231.00,0.91
Computer Engineering,15-1232.00,0.98
Computer Information Systems,15-1232.00,0.84
Computer Science,15-1232.00,0.84
Computer Security,15-1241.00,0.98
Computer Engineering,15-1241.00,0.95
Computer Information Systems,15-1241.00,0.95
Computer Science,15-1241.00,0.86
Cybersecurity,15-1241.00,0.83
Electrical Engineering,15-1241.01,0.98
Civil Engineering Technology,15-1241.01,0.91
Computer Engineering,15-1241.01,0.91
Environmental Engineering,15-1241.01,0.91
Mechanical Engineering Technology,15-1241.01,0.91
Video Production,15-1241.01,0.88
Business Administration,15-1242.00,0.98
Management,15-1242.00,0.98
Computer Information Systems,15-1242.00,0.88
Computer Security,15-1242.00,0.88
Business Intelligence,15-1242.00,0.86
Operations Management,15-1242.00,0.83
Business Intelligence,15-1243.00,0.98
Computer Information Systems,15-1243.00,0.91
Business Administration,15-1243.00,0.79
Computer Engineering,15-1243.00,0.79
Computer Security,15-1243.00,0.79
Data Science and Machine Learning,15-1243.00,0.79
Business Intelligence,15-1243.01,0.98
Computer Information Systems,15-1243.01,0.98
Health Care Information Systems Major,15-1243.01,0.98
Data Science and Machine Learning,15-1243.01,0.83
Industrial Design,15-1243.01,0.83
Computer Engineering,15-1244.00,0.98
Computer Information Systems,15-1244.00,0.93
Computer Science,15-1244.00,0.93
Computer Security,15-1244.00,0.84
Computer Science,15-1251.00,0.98
Computer Information Systems,15-1251.00,0.90
Computer Engineering,15-1251.00,0.82
Data Science and Machine Learning,15-1251.00,0.76
Computer Science,15-1252.00,0.98
Computer Information Systems,15-1252.00,0.90
Computer Engineering,15-1252.00,0.82
Data Science and Machine Learning,15-1252.00,0.76
Computer Science,15-1253.00,0.98
Computer Information Systems,15-1253.00,0.90
Computer Engineering,15-1253.00,0.82
Data Science and Machine Learning,15-1253.00,0.76
Computer Science,15-1254.00,0.98
Computer Information Systems,15-1254.00,0.90
Computer Engineering,15-1254.00,0.82
Data Science and Machine Learning,15-1254.00,0.76
Communication Design,15-1255.00,0.98
Computer Information Systems,15-1255.00,0.93
Computer Science,15-1255.00,0.93
Computer Engineering,15-1255.00,0.86
Video Production,15-1255.01,0.98
Film Studies and Production,15-1255.01,0.81
Media Production and Leadership,15-1255.01,0.81
Computer Engineering,15-1299.00,0.98
Computer Information Systems,15-1299.00,0.98
Computer Science,15-1299.00,0.98
Computer Security,15-1299.00,0.98
Computer Information Systems,15-1299.01,0.94
Computer Science,15-1299.01,0.94
Industrial Design,15-1299.01,0.94
Computer Information Systems,15-1299.02,0.98
Health Care Information Systems Major,15-1299.02,0.98
Business Intelligence,15-1299.02,0.86
Business Administration,15-1299.03,0.98
Management,15-1299.03,0.98
Operations Management,15-1299.03,0.87
Computer Information Systems,15-1299.04,0.98
Computer Engineering,15-1299.04,0.83
Computer Security,15-1299.04,0.83
Cybersecurity,15-1299.04,0.83
Health Care Information Systems Major,15-1299.04,0.83
Cybersecurity,15-1299.05,0.98
Computer Security,15-1299.05,0.96
Computer Information Systems,15-1299.05,0.84
Computer Science,15-1299.05,0.78
Criminal Justice and Criminology,15-1299.06,0.96
Psychology Major,15-1299.06,0.70
Political Science,15-1299.06,0.68
Industrial Design,15-1299.07,0.94
"Art History, Theory, and Criticism",15-1299.07,0.72
Art,15-1299.07,0.72
Computer Engineering,15-1299.08,0.98
Computer Information Systems,15-1299.08,0.86
Computer Science,15-1299.08,0.86
Computer Security,15-1299.08,0.82
Business Administration,15-1299.09,0.98
Management,15-1299.09,0.87
International Business,15-1299.09,0.84
Business Intelligence,15-2011.00,0.94
Finance,15-2011.00,0.94
Accounting,15-2011.00,0.72
Mathematics,15-2021.00,0.98
Business Administration,15-2021.00,0.83
Management,15-2021.00,0.83
Mathematics,15-2031.00,0.98
Computer Information Systems,15-2031.00,0.93
Business Administration,15-2031.00,0.86
Computer Engineering,15-2031.00,0.86
Operations Management,15-2031.00,0.86
Business Intelligence,15-2031.00,0.85
Data Science and Machine Learning,15-2041.00,0.98
Statistical Science,15-2041.00,0.94
Computer Science,15-2041.00,0.86
Business Intelligence,15-2041.00,0.82
Mathematics,15-2041.00,0.78
Data Science and Machine Learning,15-2041.01,0.98
Statistical Science,15-2041.01,0.94
Computer Science,15-2041.01,0.86
Business Intelligence,15-2041.01,0.82
Mathematics,15-2041.01,0.78
Data Science and Machine Learning,15-2051.00,0.98
Statistical Science,15-2051.00,0.94
Computer Science,15-2051.00,0.86
Business Intelligence,15-2051.00,0.82
Mathematics,15-2051.00,0.78
Business Intelligence,15-2051.01,0.98
Business Administration,15-2051.01,0.81
International Business,15-2051.01,0.81
Health Care Information Systems Major,15-2051.02,0.98
Business Administration,15-2051.02,0.96
Management,15-2051.02,0.96
Health Care Professional Services,15-2051.02,0.93
Business Intelligence,15-2051.02,0.91
Health Care Management,15-2051.02,0.86
Physics,15-2099.00,0.90
Biochemistry,15-2099.01,0.98
Health Care Information Systems Major,15-2099.01,0.97
Biology,15-2099.01,0.92
Computer Information Systems,15-2099.01,0.92
Business Intelligence,15-2099.01,0.86
Industrial Design,17-1011.00,0.94
"Art History, Theory, and Criticism",17-1011.00,0.72
Art,17-1011.00,0.72
Industrial Design,17-1012.00,0.98
Advanced Manufacturing Operations,17-1012.00,0.79
Advanced Manufacturing Sciences,17-1012.00,0.79
Geography,17-1021.00,0.98
Communication Design,17-1021.00,0.96
Political Science,17-1021.00,0.90
Social Work,17-1021.00,0.90
Industrial Design,17-1021.00,0.78
Philosophy,17-1021.00,0.78
Civil Engineering Technology,17-1022.00,0.94
Construction Project Management,17-1022.00,0.80
Environmental Engineering,17-1022.00,0.72
Civil Engineering Technology,17-1022.01,0.94
Construction Project Management,17-1022.01,0.80
Environmental Engineering,17-1022.01,0.72
Aerospace Systems and Mission Design,17-2011.00,0.98
Aviation and Aerospace Science,17-2011.00,0.94
Aviation and Aerospace Management,17-2011.00,0.84
Environmental Engineering,17-2021.00,0.98
Electrical Engineering,17-2021.00,0.91
Mechanical Engineering Technology,17-2021.00,0.91
Biology,17-2021.00,0.90
Environmental Science,17-2021.00,0.90
Environmental Sustainability,17-2021.00,0.90
Health Care Information Systems Major,17-2031.00,0.98
Computer Information Systems,17-2031.00,0.91
Business Intelligence,17-2031.00,0.86
Biology,17-2031.00,0.83
Health Care Professional Services,17-2031.00,0.83
Integrative Health Care,17-2031.00,0.83
Advanced Manufacturing Operations,17-2041.00,0.98
Advanced Manufacturing Sciences,17-2041.00,0.98
Mechanical Engineering Technology,17-2041.00,0.98
Physics,17-2041.00,0.98
Industrial Design,17-2041.00,0.96
Civil Engineering Technology,17-2041.00,0.83
Civil Engineering Technology,17-2051.00,0.94
Construction Project Management,17-2051.00,0.80
Environmental Engineering,17-2051.00,0.72
Civil Engineering Technology,17-2051.01,0.98
Construction Project Management,17-2051.01,0.98
Computer Engineering,17-2051.01,0.83
Electrical Engineering,17-2051.01,0.83
Environmental Engineering,17-2051.01,0.83
Industrial Design,17-2051.01,0.83
Environmental Engineering,17-2051.02,0.98
Environmental Science,17-2051.02,0.96
Environmental Sustainability,17-2051.02,0.96
Business Administration,17-2051.02,0.78
Business Intelligence,17-2051.02,0.78
Human Resource Management,17-2051.02,0.78
Computer Engineering,17-2061.00,0.98
Advanced Manufacturing Operations,17-2061.00,0.82
Advanced Manufacturing Sciences,17-2061.00,0.82
Industrial Design,17-2061.00,0.82
Electrical Engineering,17-2071.00,0.96
Computer Engineering,17-2071.00,0.80
Physics,17-2071.00,0.70
Electrical Engineering,17-2072.00,0.96
Computer Engineering,17-2072.00,0.80
Physics,17-2072.00,0.70
Broadcast Journalism,17-2072.01,0.94
Industrial Design,17-2072.01,0.94
"Art History, Theory, and Criticism",17-2072.01,0.72
Environmental Engineering,17-2081.00,0.98
Environmental Science,17-2081.00,0.78
Environmental Sustainability,17-2081.00,0.75
Health Care Information Systems Major,17-2111.00,0.98
Health Care Management,17-2111.00,0.98
Health Care Professional Services,17-2111.00,0.98
Integrative Health Care,17-2111.00,0.98
Public Health,17-2111.00,0.98
Chemistry,17-2111.00,0.93
Fire and Emergency Response Administration,17-2111.02,0.98
Industrial Design,17-2111.02,0.77
Physics,17-2111.02,0.77
Advanced Manufacturing Operations,17-2112.00,0.98
Operations Management,17-2112.00,0.93
Industrial Design,17-2112.00,0.91
Advanced Manufacturing Sciences,17-2112.00,0.85
"Art History, Theory, and Criticism",17-2112.01,0.94
Industrial Design,17-2112.01,0.94
Art,17-2112.01,0.72
Event and Meeting Management,17-2112.02,0.98
Industrial Design,17-2112.02,0.83
"Art History, Theory, and Criticism",17-2112.02,0.68
Industrial Design,17-2112.03,0.98
Advanced Manufacturing Operations,17-2112.03,0.93
Advanced Manufacturing Sciences,17-2112.03,0.93
Industrial Design,17-2121.00,0.94
"Art History, Theory, and Criticism",17-2121.00,0.72
Art,17-2121.00,0.72
Industrial Design,17-2131.00,0.94
"Art History, Theory, and Criticism",17-2131.00,0.72
Art,17-2131.00,0.72
Mechanical Engineering Technology,17-2141.00,0.94
Advanced Manufacturing Sciences,17-2141.00,0.78
Physics,17-2141.00,0.70
Industrial Design,17-2141.01,0.94
"Art History, Theory, and Criticism",17-2141.01,0.72
Art,17-2141.01,0.72
Computer Engineering,17-2141.02,0.94
Computer Information Systems,17-2141.02,0.94
Computer Science,17-2141.02,0.94
Computer Security,17-2141.02,0.94
Industrial Design,17-2141.02,0.94
Applied Geology,17-2151.00,0.98
Construction Project Management,17-2151.00,0.98
Industrial Design,17-2151.00,0.96
Civil Engineering Technology,17-2151.00,0.83
Music,17-2151.00,0.83
Environmental Engineering,17-2161.00,0.98
Physics,17-2161.00,0.90
Applied Geology,17-2161.00,0.87
Civil Engineering Technology,17-2161.00,0.79
Computer Engineering,17-2161.00,0.79
Electrical Engineering,17-2161.00,0.79
Video Production,17-2171.00,0.95
Advanced Manufacturing Operations,17-2171.00,0.75
Advanced Manufacturing Sciences,17-2171.00,0.75
Applied Geology,17-2171.00,0.75
Film Studies and Production,17-2171.00,0.75
Industrial Design,17-2171.00,0.75
Business Administration,17-2199.00,0.90
Management,17-2199.00,0.90
Communication Studies,17-2199.00,0.90
Construction Project Management,17-2199.03,0.98
Electrical Engineering,17-2199.03,0.90
Industrial Design,17-2199.03,0.89
Advanced Manufacturing Sciences,17-2199.03,0.78
Civil Engineering Technology,17-2199.03,0.78
Mechanical Engineering Technology,17-2199.03,0.78
Industrial Design,17-2199.05,0.98
Advanced Manufacturing Operations,17-2199.05,0.79
Advanced Manufacturing Sciences,17-2199.05,0.79
Industrial Design,17-2199.06,0.94
Applied Geology,17-2199.06,0.72
"Art History, Theory, and Criticism",17-2199.06,0.72
Industrial Design,17-2199.07,0.94
"Art History, Theory, and Criticism",17-2199.07,0.72
Art,17-2199.07,0.72
Industrial Design,17-2199.08,0.94
Applied Geology,17-2199.08,0.72
"Art History, Theory, and Criticism",17-2199.08,0.72
Computer Engineering,17-2199.09,0.98
Electrical Engineering,17-2199.09,0.93
Physics,17-2199.09,0.93
Advanced Manufacturing Sciences,17-2199.09,0.86
Video Production,17-2199.09,0.86
Industrial Design,17-2199.09,0.85
Industrial Design,17-2199.10,0.94
"Art History, Theory, and Criticism",17-2199.10,0.72
Art,17-2199.10,0.72
Computer Engineering,17-2199.11,0.98
Environmental Engineering,17-2199.11,0.91
Industrial Design,17-2199.11,0.91
Civil Engineering Technology,17-2199.11,0.86
Civil Engineering Technology,17-3011.00,0.98
Construction Project Management,17-3011.00,0.76
Advanced Manufacturing Sciences,17-3011.00,0.69
Electrical Engineering,17-3012.00,0.98
Civil Engineering Technology,17-3012.00,0.77
Computer Engineering,17-3012.00,0.77
Mechanical Engineering Technology,17-3013.00,0.98
Civil Engineering Technology,17-3013.00,0.81
Computer Engineering,17-3013.00,0.73
Civil Engineering Technology,17-3019.00,0.90
Industrial Design,17-3019.00,0.90
Aerospace Systems and Mission Design,17-3021.00,0.98
Computer Engineering,17-3021.00,0.90
Electrical Engineering,17-3021.00,0.90
Mechanical Engineering Technology,17-3021.00,0.90
Aviation and Aerospace Science,17-3021.00,0.86
Civil Engineering Technology,17-3021.00,0.86
Civil Engineering Technology,17-3022.00,0.94
Construction Project Management,17-3022.00,0.80
Environmental Engineering,17-3022.00,0.72
Electrical Engineering,17-3023.00,0.98
Mechanical Engineering Technology,17-3023.00,0.88
Civil Engineering Technology,17-3023.00,0.85
Mechanical Engineering Technology,17-3024.00,0.98
Aerospace Systems and Mission Design,17-3024.00,0.86
Electrical Engineering,17-3024.00,0.81
Video Production,17-3024.01,0.95
Advanced Manufacturing Operations,17-3024.01,0.75
Advanced Manufacturing Sciences,17-3024.01,0.75
Film Studies and Production,17-3024.01,0.75
Media Production and Leadership,17-3024.01,0.75
Environmental Engineering,17-3025.00,0.98
Environmental Science,17-3025.00,0.78
Environmental Sustainability,17-3025.00,0.75
Advanced Manufacturing Operations,17-3026.00,0.98
Advanced Manufacturing Sciences,17-3026.00,0.94
Mechanical Engineering Technology,17-3026.00,0.91
Civil Engineering Technology,17-3026.00,0.87
Electrical Engineering,17-3026.00,0.87
Computer Engineering,17-3026.00,0.83
Advanced Manufacturing Sciences,17-3026.01,0.98
Civil Engineering Technology,17-3026.01,0.95
Electrical Engineering,17-3026.01,0.95
Mechanical Engineering Technology,17-3026.01,0.95
Advanced Manufacturing Operations,17-3026.01,0.92
Computer Engineering,17-3026.01,0.89
Mechanical Engineering Technology,17-3027.00,0.94
Advanced Manufacturing Sciences,17-3027.00,0.78
Physics,17-3027.00,0.70
Civil Engineering Technology,17-3027.01,0.98
Advanced Manufacturing Sciences,17-3027.01,0.87
Electrical Engineering,17-3027.01,0.86
Mechanical Engineering Technology,17-3027.01,0.86
Computer Engineering,17-3027.01,0.82
Environmental Engineering,17-3027.01,0.82
Civil Engineering Technology,17-3028.00,0.98
Computer Engineering,17-3028.00,0.98
Electrical Engineering,17-3028.00,0.98
Mechanical Engineering Technology,17-3028.00,0.98
Physics,17-3028.00,0.98
